y,x,frame,t,vial,genotype,sex,day,rep
58.62,64.94,0,0.0,1,w1118,m,2,1
41.8,75.91,0,0.0,1,w1118,m,2,1
20.02,103.36,0,0.0,1,w1118,m,2,1
19.94,61.0,0,0.0,1,w1118,m,2,1
19.57,89.64,0,0.0,1,w1118,m,2,1
17.96,111.9,0,0.0,1,w1118,m,2,1
12.71,49.1,0,0.0,1,w1118,m,2,1
11.68,82.04,0,0.0,1,w1118,m,2,1
10.59,103.74,0,0.0,1,w1118,m,2,1
60.63,64.71,1,0.034,1,w1118,m,2,1
44.67,75.95,1,0.034,1,w1118,m,2,1
26.5,103.77,1,0.034,1,w1118,m,2,1
22.67,60.75,1,0.034,1,w1118,m,2,1
18.76,87.57,1,0.034,1,w1118,m,2,1
17.9,112.85,1,0.034,1,w1118,m,2,1
13.46,47.92,1,0.034,1,w1118,m,2,1
11.62,79.05,1,0.034,1,w1118,m,2,1
10.69,104.75,1,0.034,1,w1118,m,2,1
9.62,87.91,1,0.034,1,w1118,m,2,1
63.51,64.93,2,0.069,1,w1118,m,2,1
51.42,76.52,2,0.069,1,w1118,m,2,1
29.39,104.15,2,0.069,1,w1118,m,2,1
25.74,60.19,2,0.069,1,w1118,m,2,1
19.17,87.98,2,0.069,1,w1118,m,2,1
17.85,115.01,2,0.069,1,w1118,m,2,1
13.63,48.24,2,0.069,1,w1118,m,2,1
11.95,78.02,2,0.069,1,w1118,m,2,1
10.66,104.77,2,0.069,1,w1118,m,2,1
9.83,88.71,2,0.069,1,w1118,m,2,1
9.06,114.86,2,0.069,1,w1118,m,2,1
65.56,65.01,3,0.103,1,w1118,m,2,1
51.42,76.96,3,0.103,1,w1118,m,2,1
31.26,104.34,3,0.103,1,w1118,m,2,1
26.86,60.3,3,0.103,1,w1118,m,2,1
19.7,87.95,3,0.103,1,w1118,m,2,1
17.75,115.91,3,0.103,1,w1118,m,2,1
13.53,47.81,3,0.103,1,w1118,m,2,1
11.48,74.88,3,0.103,1,w1118,m,2,1
10.73,84.17,3,0.103,1,w1118,m,2,1
9.87,106.2,3,0.103,1,w1118,m,2,1
65.01,65.05,4,0.138,1,w1118,m,2,1
53.41,77.21,4,0.138,1,w1118,m,2,1
32.51,60.05,4,0.138,1,w1118,m,2,1
27.78,103.47,4,0.138,1,w1118,m,2,1
19.27,87.94,4,0.138,1,w1118,m,2,1
14.35,47.17,4,0.138,1,w1118,m,2,1
10.57,70.83,4,0.138,1,w1118,m,2,1
10.38,84.45,4,0.138,1,w1118,m,2,1
9.38,108.78,4,0.138,1,w1118,m,2,1
2.16,48.21,4,0.138,1,w1118,m,2,1
71.54,64.76,5,0.172,1,w1118,m,2,1
55.54,77.17,5,0.172,1,w1118,m,2,1
35.36,59.98,5,0.172,1,w1118,m,2,1
29.74,103.12,5,0.172,1,w1118,m,2,1
19.83,88.12,5,0.172,1,w1118,m,2,1
13.96,47.08,5,0.172,1,w1118,m,2,1
10.67,84.29,5,0.172,1,w1118,m,2,1
10.57,67.62,5,0.172,1,w1118,m,2,1
9.02,109.08,5,0.172,1,w1118,m,2,1
73.61,64.92,6,0.207,1,w1118,m,2,1
54.73,76.93,6,0.207,1,w1118,m,2,1
37.54,60.92,6,0.207,1,w1118,m,2,1
32.67,103.18,6,0.207,1,w1118,m,2,1
26.44,88.69,6,0.207,1,w1118,m,2,1
19.31,46.65,6,0.207,1,w1118,m,2,1
10.8,84.33,6,0.207,1,w1118,m,2,1
10.36,64.63,6,0.207,1,w1118,m,2,1
8.98,110.12,6,0.207,1,w1118,m,2,1
3.53,118.8,6,0.207,1,w1118,m,2,1
74.71,64.86,7,0.241,1,w1118,m,2,1
55.68,77.16,7,0.241,1,w1118,m,2,1
38.65,61.18,7,0.241,1,w1118,m,2,1
33.68,102.97,7,0.241,1,w1118,m,2,1
22.78,88.37,7,0.241,1,w1118,m,2,1
19.67,46.33,7,0.241,1,w1118,m,2,1
10.6,84.31,7,0.241,1,w1118,m,2,1
9.4,60.81,7,0.241,1,w1118,m,2,1
8.8,110.84,7,0.241,1,w1118,m,2,1
3.54,118.06,7,0.241,1,w1118,m,2,1
78.64,64.12,8,0.276,1,w1118,m,2,1
56.89,77.07,8,0.276,1,w1118,m,2,1
40.68,61.9,8,0.276,1,w1118,m,2,1
33.78,102.92,8,0.276,1,w1118,m,2,1
28.51,88.63,8,0.276,1,w1118,m,2,1
20.52,46.16,8,0.276,1,w1118,m,2,1
10.49,84.35,8,0.276,1,w1118,m,2,1
8.85,58.7,8,0.276,1,w1118,m,2,1
8.41,111.85,8,0.276,1,w1118,m,2,1
78.76,64.05,9,0.31,1,w1118,m,2,1
58.67,77.17,9,0.31,1,w1118,m,2,1
43.63,62.96,9,0.31,1,w1118,m,2,1
40.44,102.85,9,0.31,1,w1118,m,2,1
27.63,88.85,9,0.31,1,w1118,m,2,1
20.65,46.0,9,0.31,1,w1118,m,2,1
10.75,85.14,9,0.31,1,w1118,m,2,1
8.42,113.64,9,0.31,1,w1118,m,2,1
8.39,52.1,9,0.31,1,w1118,m,2,1
80.7,63.85,10,0.345,1,w1118,m,2,1
59.83,77.35,10,0.345,1,w1118,m,2,1
45.68,62.82,10,0.345,1,w1118,m,2,1
41.35,102.89,10,0.345,1,w1118,m,2,1
28.68,89.0,10,0.345,1,w1118,m,2,1
20.83,46.01,10,0.345,1,w1118,m,2,1
10.66,84.35,10,0.345,1,w1118,m,2,1
8.43,115.51,10,0.345,1,w1118,m,2,1
7.84,49.22,10,0.345,1,w1118,m,2,1
82.77,63.45,11,0.379,1,w1118,m,2,1
62.53,78.14,11,0.379,1,w1118,m,2,1
50.61,64.13,11,0.379,1,w1118,m,2,1
37.83,102.11,11,0.379,1,w1118,m,2,1
29.85,88.73,11,0.379,1,w1118,m,2,1
21.02,45.98,11,0.379,1,w1118,m,2,1
12.64,117.12,11,0.379,1,w1118,m,2,1
9.67,84.15,11,0.379,1,w1118,m,2,1
6.89,46.27,11,0.379,1,w1118,m,2,1
85.7,63.1,12,0.414,1,w1118,m,2,1
62.87,78.81,12,0.414,1,w1118,m,2,1
