y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle
111.34,400.87,590,42660,0.3012,52.04,590,0.0,0,0.0,True
359.66,61.9,197,42660,0.2316,16.95,197,0.0,0,0.0,True
359.28,254.06,264,42660,0.3354,19.33,264,0.0,0,0.0,True
357.7,49.42,302,42660,0.2391,23.63,302,0.0,0,0.0,True
353.91,444.27,270,42660,0.4924,21.72,270,0.0,0,0.0,True
350.89,270.05,446,42660,0.5105,31.75,446,0.0,0,0.0,True
351.18,257.84,488,42660,0.3533,41.06,488,0.0,0,0.0,True
348.99,476.72,227,42660,0.3242,15.99,227,0.0,0,0.0,True
349.11,103.74,601,42660,0.2786,44.64,601,0.0,0,0.0,True
347.66,428.98,464,42660,0.4857,32.94,464,0.0,0,0.0,True
349.2,289.32,490,42660,0.1065,28.41,490,0.0,0,0.0,True
348.02,82.04,577,42660,0.5022,43.68,577,0.0,0,0.0,True
346.88,309.52,383,42660,0.0667,27.93,383,0.0,0,0.0,True
346.99,49.1,493,42660,0.3882,35.8,493,0.0,0,0.0,True
345.02,444.23,689,42660,0.376,46.78,689,0.0,0,0.0,True
349.7,222.0,503,42660,0.4214,34.61,503,0.0,0,0.0,True
341.74,111.9,663,42660,0.4486,52.75,663,0.0,0,0.0,True
341.96,283.99,415,42660,0.4744,33.18,415,0.0,0,0.0,True
301.08,64.94,752,42660,0.3533,52.27,752,0.0,0,0.0,True
311.91,481.67,639,42660,0.2976,45.11,639,0.0,0,0.0,True
317.03,489.37,657,42660,0.2069,44.64,657,0.0,0,0.0,True
329.22,249.06,641,42660,0.2535,47.5,641,0.0,0,0.0,True
329.04,403.86,724,42660,0.3575,54.9,724,0.0,0,0.0,True
317.9,75.91,739,42660,0.2108,50.13,739,0.0,0,0.0,True
337.12,427.82,891,42660,0.0767,47.98,891,0.0,0,0.0,True
338.03,463.05,771,42660,0.4009,57.29,771,0.0,0,0.0,True
337.64,476.54,736,42660,0.1713,56.09,736,0.0,0,0.0,True
339.76,61.0,838,42660,0.0425,59.2,838,0.0,0,0.0,True
340.13,89.64,808,42660,0.3184,60.63,808,0.0,0,0.0,True
339.68,103.36,700,42660,0.0697,57.29,700,0.0,0,0.0,True
350.08,87.91,546,42660,0.4919,46.79,546,0.0,1,0.034,True
348.08,79.05,563,42660,0.5397,44.01,563,0.0,1,0.034,True
