y,x,frame,t,vial,geno,sex,day,rep
73.92,64.94,0,0.0,1,w1118,m,2,1
57.1,75.91,0,0.0,1,w1118,m,2,1
35.32,103.36,0,0.0,1,w1118,m,2,1
34.87,89.64,0,0.0,1,w1118,m,2,1
33.26,111.9,0,0.0,1,w1118,m,2,1
28.01,49.1,0,0.0,1,w1118,m,2,1
26.98,82.04,0,0.0,1,w1118,m,2,1
25.89,103.74,0,0.0,1,w1118,m,2,1
75.93,64.71,1,0.034,1,w1118,m,2,1
59.97,75.95,1,0.034,1,w1118,m,2,1
41.8,103.77,1,0.034,1,w1118,m,2,1
37.97,60.75,1,0.034,1,w1118,m,2,1
34.06,87.57,1,0.034,1,w1118,m,2,1
33.2,112.85,1,0.034,1,w1118,m,2,1
28.76,47.92,1,0.034,1,w1118,m,2,1
26.92,79.05,1,0.034,1,w1118,m,2,1
25.99,104.75,1,0.034,1,w1118,m,2,1
24.92,87.91,1,0.034,1,w1118,m,2,1
78.81,64.93,2,0.069,1,w1118,m,2,1
66.72,76.52,2,0.069,1,w1118,m,2,1
44.69,104.15,2,0.069,1,w1118,m,2,1
41.04,60.19,2,0.069,1,w1118,m,2,1
34.47,87.98,2,0.069,1,w1118,m,2,1
33.15,115.01,2,0.069,1,w1118,m,2,1
28.93,48.24,2,0.069,1,w1118,m,2,1
27.25,78.02,2,0.069,1,w1118,m,2,1
25.96,104.77,2,0.069,1,w1118,m,2,1
25.13,88.71,2,0.069,1,w1118,m,2,1
24.36,114.86,2,0.069,1,w1118,m,2,1
80.86,65.01,3,0.103,1,w1118,m,2,1
66.72,76.96,3,0.103,1,w1118,m,2,1
46.56,104.34,3,0.103,1,w1118,m,2,1
42.16,60.3,3,0.103,1,w1118,m,2,1
35.0,87.95,3,0.103,1,w1118,m,2,1
33.05,115.91,3,0.103,1,w1118,m,2,1
28.83,47.81,3,0.103,1,w1118,m,2,1
26.78,74.88,3,0.103,1,w1118,m,2,1
26.03,84.17,3,0.103,1,w1118,m,2,1
25.17,106.2,3,0.103,1,w1118,m,2,1
80.31,65.05,4,0.138,1,w1118,m,2,1
68.71,77.21,4,0.138,1,w1118,m,2,1
47.81,60.05,4,0.138,1,w1118,m,2,1
43.08,103.47,4,0.138,1,w1118,m,2,1
29.65,47.17,4,0.138,1,w1118,m,2,1
25.87,70.83,4,0.138,1,w1118,m,2,1
25.68,84.45,4,0.138,1,w1118,m,2,1
24.68,108.78,4,0.138,1,w1118,m,2,1
17.46,48.21,4,0.138,1,w1118,m,2,1
86.84,64.76,5,0.172,1,w1118,m,2,1
70.84,77.17,5,0.172,1,w1118,m,2,1
50.66,59.98,5,0.172,1,w1118,m,2,1
45.04,103.12,5,0.172,1,w1118,m,2,1
35.13,88.12,5,0.172,1,w1118,m,2,1
29.26,47.08,5,0.172,1,w1118,m,2,1
25.97,84.29,5,0.172,1,w1118,m,2,1
25.87,67.62,5,0.172,1,w1118,m,2,1
24.32,109.08,5,0.172,1,w1118,m,2,1
88.91,64.92,6,0.207,1,w1118,m,2,1
70.03,76.93,6,0.207,1,w1118,m,2,1
52.84,60.92,6,0.207,1,w1118,m,2,1
47.97,103.18,6,0.207,1,w1118,m,2,1
41.74,88.69,6,0.207,1,w1118,m,2,1
34.61,46.65,6,0.207,1,w1118,m,2,1
26.1,84.33,6,0.207,1,w1118,m,2,1
25.66,64.63,6,0.207,1,w1118,m,2,1
24.28,110.12,6,0.207,1,w1118,m,2,1
18.83,118.8,6,0.207,1,w1118,m,2,1
90.01,64.86,7,0.241,1,w1118,m,2,1
