y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
107.34,405.87,590,42780,0.301,52.04,590,0.0,0,0.0,True,3.0
355.66,66.9,197,42780,0.232,16.95,197,0.0,0,0.0,False,0.0
355.28,259.06,264,42780,0.335,19.33,264,0.0,0,0.0,False,0.0
353.7,54.42,302,42780,0.239,23.63,302,0.0,0,0.0,False,0.0
349.91,449.27,270,42780,0.492,21.72,270,0.0,0,0.0,False,0.0
346.89,275.05,446,42780,0.511,31.75,446,0.0,0,0.0,True,2.0
345.7,227.0,503,42780,0.421,34.61,503,0.0,0,0.0,True,2.0
344.99,481.72,227,42780,0.324,15.99,227,0.0,0,0.0,False,0.0
345.11,108.74,601,42780,0.279,44.64,601,0.0,0,0.0,True,1.0
343.66,433.98,464,42780,0.486,32.94,464,0.0,0,0.0,True,3.0
345.2,294.32,490,42780,0.106,28.41,490,0.0,0,0.0,True,2.0
344.02,87.04,577,42780,0.502,43.68,577,0.0,0,0.0,True,1.0
342.88,314.52,383,42780,0.067,27.93,383,0.0,0,0.0,True,2.0
342.99,54.1,493,42780,0.388,35.8,493,0.0,0,0.0,True,1.0
341.02,449.23,689,42780,0.376,46.78,689,0.0,0,0.0,True,3.0
347.18,262.84,488,42780,0.353,41.06,488,0.0,0,0.0,True,2.0
337.74,116.9,663,42780,0.449,52.75,663,0.0,0,0.0,True,1.0
337.96,288.99,415,42780,0.474,33.18,415,0.0,0,0.0,True,2.0
297.08,69.94,752,42780,0.353,52.27,752,0.0,0,0.0,True,1.0
307.91,486.67,639,42780,0.298,45.11,639,0.0,0,0.0,True,3.0
313.03,494.37,657,42780,0.207,44.64,657,0.0,0,0.0,True,3.0
325.22,254.06,641,42780,0.253,47.5,641,0.0,0,0.0,True,2.0
325.04,408.86,724,42780,0.358,54.9,724,0.0,0,0.0,True,3.0
313.9,80.91,739,42780,0.211,50.13,739,0.0,0,0.0,True,1.0
334.03,468.05,771,42780,0.401,57.29,771,0.0,0,0.0,True,3.0
333.64,481.54,736,42780,0.171,56.09,736,0.0,0,0.0,True,3.0
335.76,66.0,838,42780,0.042,59.2,838,0.0,0,0.0,True,1.0
336.13,94.64,808,42780,0.319,60.87,808,0.0,0,0.0,True,1.0
335.68,108.36,700,42780,0.07,57.29,700,0.0,0,0.0,True,1.0
333.12,432.82,891,42780,0.077,47.98,891,0.0,0,0.0,True,3.0
341.31,445.2,627,42780,0.39,47.48,627,0.0,1,0.034,True,3.0
345.17,295.2,507,42780,0.113,27.1,507,0.0,1,0.034,True,2.0
