y,x,frame,t,vial,climbing,3
160.79,15.39,0,0.0,1.0,climbing,3
124.73,105.8,0,0.0,1.0,climbing,3
108.9,72.0,0,0.0,1.0,climbing,3
90.71,117.69,0,0.0,1.0,climbing,3
80.81,112.37,0,0.0,1.0,climbing,3
71.32,62.06,0,0.0,1.0,climbing,3
51.78,107.92,0,0.0,1.0,climbing,3
49.68,81.07,0,0.0,1.0,climbing,3
45.61,70.21,0,0.0,1.0,climbing,3
26.34,16.86,0,0.0,1.0,climbing,3
25.05,71.97,0,0.0,1.0,climbing,3
23.26,84.92,0,0.0,1.0,climbing,3
23.14,27.72,0,0.0,1.0,climbing,3
23.01,57.89,0,0.0,1.0,climbing,3
19.05,11.45,0,0.0,1.0,climbing,3
17.75,103.39,0,0.0,1.0,climbing,3
14.89,38.8,0,0.0,1.0,climbing,3
383.69,17.91,1,0.034,1.0,climbing,3
358.91,16.81,1,0.034,1.0,climbing,3
164.87,15.36,1,0.034,1.0,climbing,3
128.68,108.76,1,0.034,1.0,climbing,3
111.65,74.03,1,0.034,1.0,climbing,3
93.75,117.71,1,0.034,1.0,climbing,3
74.04,66.03,1,0.034,1.0,climbing,3
55.11,82.14,1,0.034,1.0,climbing,3
48.17,107.97,1,0.034,1.0,climbing,3
47.47,70.47,1,0.034,1.0,climbing,3
29.88,17.44,1,0.034,1.0,climbing,3
27.97,88.96,1,0.034,1.0,climbing,3
26.5,29.69,1,0.034,1.0,climbing,3
24.83,73.92,1,0.034,1.0,climbing,3
22.62,57.68,1,0.034,1.0,climbing,3
18.68,11.78,1,0.034,1.0,climbing,3
17.35,105.25,1,0.034,1.0,climbing,3
14.66,33.86,1,0.034,1.0,climbing,3
170.5,15.96,2,0.069,1.0,climbing,3
130.0,109.23,2,0.069,1.0,climbing,3
118.93,81.66,2,0.069,1.0,climbing,3
100.9,117.82,2,0.069,1.0,climbing,3
85.2,112.14,2,0.069,1.0,climbing,3
76.89,70.15,2,0.069,1.0,climbing,3
58.86,79.26,2,0.069,1.0,climbing,3
55.83,105.96,2,0.069,1.0,climbing,3
47.06,69.14,2,0.069,1.0,climbing,3
36.21,19.9,2,0.069,1.0,climbing,3
29.81,92.2,2,0.069,1.0,climbing,3
26.58,32.22,2,0.069,1.0,climbing,3
25.12,74.93,2,0.069,1.0,climbing,3
22.81,57.71,2,0.069,1.0,climbing,3
18.97,12.18,2,0.069,1.0,climbing,3
18.45,108.94,2,0.069,1.0,climbing,3
176.57,17.64,3,0.103,1.0,climbing,3
133.03,111.97,3,0.103,1.0,climbing,3
123.14,82.2,3,0.103,1.0,climbing,3
104.48,118.62,3,0.103,1.0,climbing,3
92.03,110.8,3,0.103,1.0,climbing,3
77.94,76.07,3,0.103,1.0,climbing,3
61.41,78.32,3,0.103,1.0,climbing,3
56.78,105.16,3,0.103,1.0,climbing,3
53.0,68.99,3,0.103,1.0,climbing,3
40.97,23.01,3,0.103,1.0,climbing,3
32.04,97.89,3,0.103,1.0,climbing,3
26.05,34.05,3,0.103,1.0,climbing,3
24.85,84.84,3,0.103,1.0,climbing,3
22.83,57.54,3,0.103,1.0,climbing,3
20.55,112.09,3,0.103,1.0,climbing,3
20.54,12.28,3,0.103,1.0,climbing,3
17.49,26.07,3,0.103,1.0,climbing,3
15.27,82.98,3,0.103,1.0,climbing,3
385.63,15.95,4,0.138,1.0,climbing,3
181.7,18.49,4,0.138,1.0,climbing,3
137.13,113.79,4,0.138,1.0,climbing,3
128.59,82.34,4,0.138,1.0,climbing,3
105.7,118.54,4,0.138,1.0,climbing,3
96.02,109.85,4,0.138,1.0,climbing,3
78.05,83.05,4,0.138,1.0,climbing,3
63.81,80.9,4,0.138,1.0,climbing,3
61.94,66.29,4,0.138,1.0,climbing,3
58.62,104.13,4,0.138,1.0,climbing,3
44.05,25.11,4,0.138,1.0,climbing,3
30.21,100.02,4,0.138,1.0,climbing,3
26.88,37.15,4,0.138,1.0,climbing,3
25.01,84.96,4,0.138,1.0,climbing,3
22.67,56.85,4,0.138,1.0,climbing,3
20.74,12.67,4,0.138,1.0,climbing,3
20.52,110.11,4,0.138,1.0,climbing,3
16.59,24.31,4,0.138,1.0,climbing,3
14.76,84.82,4,0.138,1.0,climbing,3
186.62,17.95,5,0.172,1.0,climbing,3
140.02,116.17,5,0.172,1.0,climbing,3
130.22,81.16,5,0.172,1.0,climbing,3
109.64,118.92,5,0.172,1.0,climbing,3
106.39,104.44,5,0.172,1.0,climbing,3
78.29,89.93,5,0.172,1.0,climbing,3
71.48,78.1,5,0.172,1.0,climbing,3
64.02,67.29,5,0.172,1.0,climbing,3
59.58,103.36,5,0.172,1.0,climbing,3
47.86,30.05,5,0.172,1.0,climbing,3
31.85,104.98,5,0.172,1.0,climbing,3
28.07,39.01,5,0.172,1.0,climbing,3
24.65,85.0,5,0.172,1.0,climbing,3
22.71,54.63,5,0.172,1.0,climbing,3
20.57,109.07,5,0.172,1.0,climbing,3
20.07,10.82,5,0.172,1.0,climbing,3
18.56,41.02,5,0.172,1.0,climbing,3
15.71,27.53,5,0.172,1.0,climbing,3
15.1,84.19,5,0.172,1.0,climbing,3
186.11,16.84,6,0.207,1.0,climbing,3
144.77,118.05,6,0.207,1.0,climbing,3
132.19,79.68,6,0.207,1.0,climbing,3
113.74,118.54,6,0.207,1.0,climbing,3
110.84,102.2,6,0.207,1.0,climbing,3
79.84,93.9,6,0.207,1.0,climbing,3
76.9,78.18,6,0.207,1.0,climbing,3
70.06,65.32,6,0.207,1.0,climbing,3
60.9,102.06,6,0.207,1.0,climbing,3
51.71,34.23,6,0.207,1.0,climbing,3
37.77,45.73,6,0.207,1.0,climbing,3
31.96,107.13,6,0.207,1.0,climbing,3
24.83,87.95,6,0.207,1.0,climbing,3
20.61,106.05,6,0.207,1.0,climbing,3
20.12,11.11,6,0.207,1.0,climbing,3
17.99,44.19,6,0.207,1.0,climbing,3
15.22,26.17,6,0.207,1.0,climbing,3
14.22,91.69,6,0.207,1.0,climbing,3
12.48,105.38,6,0.207,1.0,climbing,3
190.18,16.88,7,0.241,1.0,climbing,3
146.0,119.36,7,0.241,1.0,climbing,3
142.7,79.56,7,0.241,1.0,climbing,3
117.79,118.31,7,0.241,1.0,climbing,3
