geno,condition,hour,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Mau,Fatigued,0,1,Mau_Fatigued_all,4,54,3.8482,34.5156,0.9978,0.0,0.0196
Mau,Fatigued,0,2,Mau_Fatigued_all,27,77,5.3312,15.48,0.9987,0.0,0.0209
Mau,Fatigued,0,3,Mau_Fatigued_all,24,74,5.6102,22.6865,0.9992,0.0,0.0175
Mau,Rested,0,1,Mau_Rested_all,21,71,4.9639,18.6613,0.9968,0.0,0.0303
Mau,Rested,0,2,Mau_Rested_all,13,63,5.2879,25.2008,0.9988,0.0,0.0201
Mau,Rested,0,3,Mau_Rested_all,29,79,5.3128,3.5086,0.9995,0.0,0.0131
OreR,Fatigued,0,1,OreR_Fatigued_all,3,53,3.5747,30.4268,0.9977,0.0,0.0184
OreR,Fatigued,0,2,OreR_Fatigued_all,9,59,3.3213,37.5305,0.9979,0.0,0.0163
OreR,Fatigued,0,3,OreR_Fatigued_all,22,72,4.5003,12.0188,0.9976,0.0,0.0236
OreR,Rested,0,1,OreR_Rested_all,24,74,3.1749,20.3768,0.995,0.0,0.0243
OreR,Rested,0,2,OreR_Rested_all,0,50,2.6979,46.792,0.9958,0.0,0.0188
OreR,Rested,0,3,OreR_Rested_all,29,79,3.4166,30.1634,0.9943,0.0,0.0279
SiI,Fatigued,0,1,SiI_Fatigued_all,5,55,3.7584,33.2923,0.9971,0.0,0.0217
SiI,Fatigued,0,2,SiI_Fatigued_all,0,50,3.9533,42.4394,0.9968,0.0,0.0243
SiI,Fatigued,0,3,SiI_Fatigued_all,14,64,4.1932,31.7076,0.9976,0.0,0.0223
SiI,Rested,0,1,SiI_Rested_all,17,67,4.1328,29.5072,0.9984,0.0,0.0181
SiI,Rested,0,2,SiI_Rested_all,5,55,3.3338,60.7218,0.9977,0.0,0.0172
SiI,Rested,0,3,SiI_Rested_all,15,65,5.3387,31.0137,0.9987,0.0,0.0206
Sm21,Fatigued,0,1,Sm21_Fatigued_all,3,53,3.419,32.0989,0.9984,0.0,0.0148
Sm21,Fatigued,0,2,Sm21_Fatigued_all,26,76,4.2124,25.7143,0.9979,0.0,0.0206
Sm21,Fatigued,0,3,Sm21_Fatigued_all,25,75,4.632,4.5581,0.998,0.0,0.0221
Sm21,Rested,0,1,Sm21_Rested_all,21,71,4.7326,22.1593,0.9989,0.0,0.0171
Sm21,Rested,0,2,Sm21_Rested_all,9,59,4.723,31.5436,0.9973,0.0,0.0266
Sm21,Rested,0,3,Sm21_Rested_all,21,71,4.3257,18.5657,0.9988,0.0,0.0164
Yak,Fatigued,0,1,Yak_Fatigued_all,0,50,3.1686,38.0248,0.9977,0.0,0.0163
Yak,Fatigued,0,2,Yak_Fatigued_all,22,72,5.1059,29.3796,0.9984,0.0,0.0219
Yak,Fatigued,0,3,Yak_Fatigued_all,7,57,4.6011,39.968,0.9984,0.0,0.0195
Yak,Rested,0,1,Yak_Rested_all,36,86,4.4002,-0.2725,0.9967,0.0,0.0272
Yak,Rested,0,2,Yak_Rested_all,18,68,5.1337,21.9218,0.9974,0.0,0.0284
Yak,Rested,0,3,Yak_Rested_all,25,75,4.3287,12.5613,0.9987,0.0,0.0169
Zim,Fatigued,0,1,Zim_Fatigued_all,13,63,4.8138,33.5844,0.9983,0.0,0.0215
Zim,Fatigued,0,2,Zim_Fatigued_all,1,51,4.6172,46.47,0.9986,0.0,0.0187
Zim,Fatigued,0,3,Zim_Fatigued_all,24,74,3.813,56.3326,0.9973,0.0,0.0212
Zim,Rested,0,1,Zim_Rested_all,17,67,4.4705,26.066,0.9975,0.0,0.0241
Zim,Rested,0,2,Zim_Rested_all,13,63,4.8146,33.4778,0.999,0.0,0.0165
Zim,Rested,0,3,Zim_Rested_all,15,65,4.4412,29.4303,0.9987,0.0,0.017
w1118,Fatigued,0,1,w1118_Fatigued_all,18,68,4.3347,21.9436,0.9981,0.0,0.0203
w1118,Fatigued,0,2,w1118_Fatigued_all,11,61,4.3381,44.2576,0.9983,0.0,0.0192
w1118,Fatigued,0,3,w1118_Fatigued_all,11,61,4.7433,21.5271,0.9976,0.0,0.025
w1118,Rested,0,1,w1118_Rested_all,4,54,3.2119,32.1083,0.9978,0.0,0.0161
w1118,Rested,0,2,w1118_Rested_all,11,61,4.2405,34.3709,0.9978,0.0,0.0215
w1118,Rested,0,3,w1118_Rested_all,10,60,3.8501,39.1012,0.9982,0.0,0.0175
Mau,Fatigued,1,1,Mau_Fatigued_all,7,57,2.5476,32.218,0.9967,0.0,0.0159
Mau,Fatigued,1,2,Mau_Fatigued_all,9,59,3.0326,31.207,0.9969,0.0,0.0182
Mau,Fatigued,1,3,Mau_Fatigued_all,28,78,4.638,11.2597,0.9972,0.0,0.0263
Mau,Rested,1,1,Mau_Rested_all,21,71,5.5485,22.0633,0.9989,0.0,0.0195
Mau,Rested,1,2,Mau_Rested_all,19,69,5.2089,23.2827,0.9993,0.0,0.015
Mau,Rested,1,3,Mau_Rested_all,9,59,5.6473,28.3158,0.9993,0.0,0.0155
OreR,Fatigued,1,1,OreR_Fatigued_all,32,82,2.4825,28.7993,0.9932,0.0,0.0222
OreR,Fatigued,1,2,OreR_Fatigued_all,11,61,2.944,27.298,0.9955,0.0,0.0214
OreR,Fatigued,1,3,OreR_Fatigued_all,0,50,3.3018,32.1967,0.991,0.0,0.034
OreR,Rested,1,1,OreR_Rested_all,9,59,3.3528,29.6741,0.9979,0.0,0.0166
OreR,Rested,1,2,OreR_Rested_all,19,69,3.4897,28.5365,0.9969,0.0,0.0211
OreR,Rested,1,3,OreR_Rested_all,22,72,3.5406,37.1305,0.9983,0.0,0.0157
SiI,Fatigued,1,1,SiI_Fatigued_all,8,58,4.0565,30.6374,0.9965,0.0,0.0259
SiI,Fatigued,1,2,SiI_Fatigued_all,1,51,3.7171,30.5929,0.9985,0.0,0.0155
SiI,Fatigued,1,3,SiI_Fatigued_all,11,61,3.2217,25.9061,0.9987,0.0,0.0124
SiI,Rested,1,1,SiI_Rested_all,7,57,4.3223,33.7795,0.9989,0.0,0.0155
SiI,Rested,1,2,SiI_Rested_all,20,70,4.4568,28.3606,0.9974,0.0,0.0245
SiI,Rested,1,3,SiI_Rested_all,5,55,4.1156,51.53,0.9975,0.0,0.0223
Sm21,Fatigued,1,1,Sm21_Fatigued_all,5,55,2.6529,30.4622,0.9974,0.0,0.0146
Sm21,Fatigued,1,2,Sm21_Fatigued_all,5,55,2.254,32.3054,0.9963,0.0,0.0147
Sm21,Fatigued,1,3,Sm21_Fatigued_all,10,60,3.017,10.0148,0.9923,0.0,0.0287
Sm21,Rested,1,1,Sm21_Rested_all,9,59,4.648,40.0796,0.9974,0.0,0.0254
Sm21,Rested,1,2,Sm21_Rested_all,9,59,4.1983,52.0101,0.9967,0.0,0.026
Sm21,Rested,1,3,Sm21_Rested_all,10,60,3.9985,35.3754,0.998,0.0,0.0193
Yak,Fatigued,1,1,Yak_Fatigued_all,16,66,3.3126,45.0852,0.9972,0.0,0.0189
Yak,Fatigued,1,2,Yak_Fatigued_all,10,60,3.437,22.3858,0.9981,0.0,0.016
Yak,Fatigued,1,3,Yak_Fatigued_all,21,71,3.9724,22.3252,0.9981,0.0,0.0188
Yak,Rested,1,1,Yak_Rested_all,19,69,5.1907,21.6037,0.9992,0.0,0.0156
Yak,Rested,1,2,Yak_Rested_all,19,69,5.1976,29.1954,0.9988,0.0,0.0197
Yak,Rested,1,3,Yak_Rested_all,19,69,5.5363,37.1779,0.9985,0.0,0.0232
Zim,Fatigued,1,1,Zim_Fatigued_all,14,64,4.551,12.9262,0.9984,0.0,0.0199
Zim,Fatigued,1,2,Zim_Fatigued_all,11,61,4.439,32.4779,0.998,0.0,0.0216
Zim,Fatigued,1,3,Zim_Fatigued_all,20,70,4.067,22.1849,0.9949,0.0,0.0315
Zim,Rested,1,1,Zim_Rested_all,11,61,4.3381,46.621,0.9987,0.0,0.0168
Zim,Rested,1,2,Zim_Rested_all,14,64,5.3935,40.1896,0.9983,0.0,0.0241
Zim,Rested,1,3,Zim_Rested_all,26,76,4.2084,43.5552,0.9973,0.0,0.0236
w1118,Fatigued,1,1,w1118_Fatigued_all,15,65,2.9202,19.3354,0.9968,0.0,0.0179
w1118,Fatigued,1,2,w1118_Fatigued_all,17,67,3.425,28.5676,0.9987,0.0,0.0135
w1118,Fatigued,1,3,w1118_Fatigued_all,20,70,3.4828,21.7114,0.9983,0.0,0.0157
w1118,Rested,1,1,w1118_Rested_all,11,61,4.3491,39.695,0.999,0.0,0.0146
w1118,Rested,1,2,w1118_Rested_all,15,65,3.898,32.6177,0.9979,0.0,0.0191
w1118,Rested,1,3,w1118_Rested_all,19,69,4.3527,2.2122,0.9972,0.0,0.0248
Mau,Fatigued,2,1,Mau_Fatigued_all,2,52,3.5233,35.4429,0.9983,0.0,0.0155
Mau,Fatigued,2,2,Mau_Fatigued_all,19,69,3.3438,18.667,0.9969,0.0,0.02
Mau,Fatigued,2,3,Mau_Fatigued_all,0,50,3.5447,34.6695,0.9964,0.0,0.0229
Mau,Rested,2,1,Mau_Rested_all,15,65,5.0444,24.551,0.9991,0.0,0.016
Mau,Rested,2,2,Mau_Rested_all,11,61,5.3708,44.6316,0.9985,0.0,0.0224
