geno,condition,rack,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Mau,Ex,a,2,1,Mau_Ex_a_1,30,82,2.9131,61.5312,0.9708,0.0,0.0624
Mau,Ex,a,2,1,Mau_Ex_a_2,0,52,4.2134,53.2386,0.9878,0.0,0.0574
Mau,Ex,a,2,1,Mau_Ex_a_3,9,61,3.5225,50.0068,0.992,0.0,0.0389
Mau,Ex,a,2,1,Mau_Ex_a_4,24,76,3.6566,7.8304,0.9839,0.0,0.0575
Mau,Ex,a,2,1,Mau_Ex_a_5,19,71,4.5679,-5.7276,0.9957,0.0,0.0368
Mau,Ex,a,2,1,Mau_Ex_a_6,12,64,3.3362,22.3679,0.9881,0.0,0.045
Mau,Ex,a,2,1,Mau_Ex_a_all,30,82,3.3252,41.4842,0.9968,0.0,0.0231
Mau,Ex,a,2,2,Mau_Ex_a_1,3,55,5.1496,51.4562,0.9968,0.0,0.036000000000000004
Mau,Ex,a,2,2,Mau_Ex_a_2,0,52,4.1427,98.2418,0.9796,0.0,0.0736
Mau,Ex,a,2,2,Mau_Ex_a_3,27,79,3.7889,42.8929,0.9932,0.0,0.0385
Mau,Ex,a,2,2,Mau_Ex_a_4,4,56,4.2344,52.2971,0.9964,0.0,0.0311
Mau,Ex,a,2,2,Mau_Ex_a_5,45,97,3.1387,32.2208,0.9449,0.0,0.0941
Mau,Ex,a,2,2,Mau_Ex_a_6,2,54,3.3564,59.3249,0.9856,0.0,0.0499
Mau,Ex,a,2,2,Mau_Ex_a_all,1,53,3.6462,66.7259,0.9974,0.0,0.0227
Mau,Ex,a,2,3,Mau_Ex_a_1,15,67,4.9505,12.7284,0.9937,0.0,0.0484
Mau,Ex,a,2,3,Mau_Ex_a_2,30,82,3.8096,23.2097,0.9906,0.0,0.0456
Mau,Ex,a,2,3,Mau_Ex_a_3,53,105,3.6695,-16.7366,0.9861,0.0,0.0536
Mau,Ex,a,2,3,Mau_Ex_a_4,42,94,2.3959,30.2232,0.9127,0.0,0.0929
Mau,Ex,a,2,3,Mau_Ex_a_5,25,77,3.9930000000000003,20.9815,0.9914,0.0,0.0456
Mau,Ex,a,2,3,Mau_Ex_a_6,58,110,3.2274,-32.3876,0.9701,0.0,0.0699
Mau,Ex,a,2,3,Mau_Ex_a_all,11,63,3.2366,28.4156,0.9951,0.0,0.0279
Mau,Ex,b,2,1,Mau_Ex_b_1,19,71,3.6996,15.1337,0.9854,0.0,0.0553
Mau,Ex,b,2,1,Mau_Ex_b_2,48,100,3.7995,28.3558,0.98,0.0,0.0667
Mau,Ex,b,2,1,Mau_Ex_b_3,5,57,3.9194,35.3595,0.9973,0.0,0.025
Mau,Ex,b,2,1,Mau_Ex_b_4,44,96,2.8965,70.666,0.982,0.0,0.0482
Mau,Ex,b,2,1,Mau_Ex_b_5,49,101,2.6822,30.8722,0.9646,0.0,0.0635
Mau,Ex,b,2,1,Mau_Ex_b_6,73,125,3.9292,-79.8967,0.9748,0.0,0.0779
Mau,Ex,b,2,1,Mau_Ex_b_all,24,76,2.5708,56.0813,0.9949,0.0,0.0226
Mau,Ex,b,2,2,Mau_Ex_b_1,4,56,3.3521,55.6457,0.987,0.0,0.0473
Mau,Ex,b,2,2,Mau_Ex_b_2,19,71,3.551,63.5389,0.9853,0.0,0.0533
Mau,Ex,b,2,2,Mau_Ex_b_3,0,52,2.9699,58.5816,0.9908,0.0,0.0351
Mau,Ex,b,2,2,Mau_Ex_b_4,0,52,3.5029,72.3912,0.9908,0.0,0.0415
Mau,Ex,b,2,2,Mau_Ex_b_5,0,52,3.6069,59.1687,0.9798,0.0,0.0638
Mau,Ex,b,2,2,Mau_Ex_b_6,9,61,2.8713,55.5806,0.9641,0.0,0.0684
Mau,Ex,b,2,2,Mau_Ex_b_all,8,60,3.2589,62.4041,0.9983,0.0,0.0167
Mau,Ex,b,2,3,Mau_Ex_b_1,11,63,3.7549,52.8371,0.9865,0.0,0.0539
Mau,Ex,b,2,3,Mau_Ex_b_2,0,52,3.513,75.846,0.9757,0.0,0.0683
Mau,Ex,b,2,3,Mau_Ex_b_3,38,90,3.6435,67.6986,0.9926,0.0,0.0385
Mau,Ex,b,2,3,Mau_Ex_b_4,0,52,3.4305,108.1899,0.9576,0.0,0.0894
Mau,Ex,b,2,3,Mau_Ex_b_5,3,55,2.8966,73.4963,0.9867,0.0,0.0413
Mau,Ex,b,2,3,Mau_Ex_b_6,6,58,4.2508,35.2362,0.9572,0.0,0.1113
Mau,Ex,b,2,3,Mau_Ex_b_all,0,52,3.4491,73.2479,0.9953,0.0,0.028999999999999998
Mau,Un,a,2,1,Mau_Un_a_1,16,68,3.9933,11.8485,0.9799,0.0,0.0704
Mau,Un,a,2,1,Mau_Un_a_2,0,52,3.0031,62.6351,0.9844,0.0,0.0465
Mau,Un,a,2,1,Mau_Un_a_3,4,56,4.0405,33.3949,0.9882,0.0,0.0542
Mau,Un,a,2,1,Mau_Un_a_4,12,64,3.9663,39.3123,0.997,0.0,0.0268
Mau,Un,a,2,1,Mau_Un_a_5,15,67,3.1371,28.7288,0.987,0.0,0.0443
Mau,Un,a,2,1,Mau_Un_a_6,80,132,2.0757,0.3784,0.9358,0.0,0.0677
Mau,Un,a,2,1,Mau_Un_a_all,22,74,3.2728,35.6702,0.9953,0.0,0.0277
Mau,Un,a,2,2,Mau_Un_a_1,20,72,4.5375,11.009,0.9655,0.0,0.106
Mau,Un,a,2,2,Mau_Un_a_2,20,72,5.0961,46.8248,0.9961,0.0,0.0392
Mau,Un,a,2,2,Mau_Un_a_3,32,84,4.2068,12.4352,0.9869,0.0,0.0595
Mau,Un,a,2,2,Mau_Un_a_4,30,82,3.8932,5.4209,0.9899,0.0,0.0483
Mau,Un,a,2,2,Mau_Un_a_5,12,64,3.8054,47.3794,0.9796,0.0,0.0676
Mau,Un,a,2,2,Mau_Un_a_6,19,71,3.3826,28.6894,0.9837,0.0,0.0536
Mau,Un,a,2,2,Mau_Un_a_all,27,79,3.8569999999999998,33.4566,0.9972,0.0,0.025
Mau,Un,a,2,3,Mau_Un_a_1,42,94,4.3444,-10.9277,0.9728,0.0,0.0895
Mau,Un,a,2,3,Mau_Un_a_2,36,88,3.3221,63.9149,0.9863,0.0,0.048
Mau,Un,a,2,3,Mau_Un_a_3,6,58,3.6375,74.4815,0.9893,0.0,0.0464
Mau,Un,a,2,3,Mau_Un_a_4,50,102,3.3981,23.9009,0.9402,0.0,0.1066
Mau,Un,a,2,3,Mau_Un_a_5,36,88,4.1196,23.3365,0.9835,0.0,0.0656
Mau,Un,a,2,3,Mau_Un_a_6,27,79,3.9453,31.7257,0.9621,0.0,0.0968
Mau,Un,a,2,3,Mau_Un_a_all,37,89,3.3037,51.8885,0.9967,0.0,0.0232
Mau,Un,b,2,1,Mau_Un_b_1,0,52,3.1429,82.2635,0.9443,0.0,0.0948
Mau,Un,b,2,1,Mau_Un_b_2,9,61,2.9123,91.1226,0.9561,0.0,0.0773
Mau,Un,b,2,1,Mau_Un_b_3,4,56,3.6744,57.2934,0.9677,0.0,0.0829
Mau,Un,b,2,1,Mau_Un_b_4,50,102,2.6741,75.7808,0.9834,0.0,0.0427
Mau,Un,b,2,1,Mau_Un_b_5,0,52,3.6753,71.3359,0.9929,0.0,0.0382
Mau,Un,b,2,1,Mau_Un_b_6,90,142,3.0677,-23.4592,0.9792,0.0,0.0567
Mau,Un,b,2,1,Mau_Un_b_all,5,57,2.96,76.1296,0.9923,0.0,0.0321
Mau,Un,b,2,2,Mau_Un_b_1,1,53,4.3357,65.3545,0.993,0.0,0.0446
Mau,Un,b,2,2,Mau_Un_b_2,0,52,4.6234,90.2558,0.9853,0.0,0.0693
Mau,Un,b,2,2,Mau_Un_b_3,4,56,3.7177,108.7133,0.9754,0.0,0.0728
Mau,Un,b,2,2,Mau_Un_b_4,38,90,3.7484,62.3901,0.9744,0.0,0.0748
Mau,Un,b,2,2,Mau_Un_b_5,17,69,3.1383,67.6125,0.9019,0.0,0.1302
Mau,Un,b,2,2,Mau_Un_b_6,5,57,2.9211,87.72200000000001,0.9306,0.0,0.0995
Mau,Un,b,2,2,Mau_Un_b_all,10,62,3.3622,90.4785,0.9942,0.0,0.0315
Mau,Un,b,2,3,Mau_Un_b_1,8,60,2.6401,41.8663,0.9756,0.0,0.0515
Mau,Un,b,2,3,Mau_Un_b_2,0,52,5.0521,45.9456,0.9889,0.0,0.0659
Mau,Un,b,2,3,Mau_Un_b_3,10,62,4.8265,28.6282,0.9923,0.0,0.0523
Mau,Un,b,2,3,Mau_Un_b_4,22,74,2.5079,45.8663,0.9735,0.0,0.051
Mau,Un,b,2,3,Mau_Un_b_5,4,56,3.6289,30.6674,0.9885,0.0,0.048
Mau,Un,b,2,3,Mau_Un_b_6,13,65,3.5817,28.2841,0.9891,0.0,0.0462
Mau,Un,b,2,3,Mau_Un_b_all,8,60,3.5967,37.5428,0.9968,0.0,0.0251
OreR,Ex,a,2,1,OreR_Ex_a_1,7,59,4.3483,27.3674,0.9991,0.0,0.0159
OreR,Ex,a,2,1,OreR_Ex_a_2,3,55,2.2638,39.1393,0.9729,0.0,0.0466
OreR,Ex,a,2,1,OreR_Ex_a_3,3,55,3.4294,66.2075,0.992,0.0,0.0378
OreR,Ex,a,2,1,OreR_Ex_a_4,12,64,3.375,14.3438,0.9956,0.0,0.0274
OreR,Ex,a,2,1,OreR_Ex_a_5,0,52,1.8773,22.8993,0.9846,0.0,0.0289
OreR,Ex,a,2,1,OreR_Ex_a_6,19,71,2.772,4.7365,0.9613,0.0,0.0688
OreR,Ex,a,2,1,OreR_Ex_a_all,17,69,2.9652,31.7214,0.9974,0.0,0.0187
OreR,Ex,a,2,2,OreR_Ex_a_1,21,73,5.0055,15.8481,0.9867,0.0,0.0715
OreR,Ex,a,2,2,OreR_Ex_a_2,0,52,3.4662,40.1513,0.9817,0.0,0.0583
OreR,Ex,a,2,2,OreR_Ex_a_3,23,75,3.3527,40.0772,0.9825,0.0,0.055
OreR,Ex,a,2,2,OreR_Ex_a_4,26,78,2.8583,48.7978,0.9953,0.0,0.0242
OreR,Ex,a,2,2,OreR_Ex_a_5,52,104,1.7513,54.0244,0.9527,0.0,0.0484
OreR,Ex,a,2,2,OreR_Ex_a_6,29,81,4.3001,-28.5063,0.9719,0.0,0.0901
OreR,Ex,a,2,2,OreR_Ex_a_all,17,69,3.1326,38.6076,0.995,0.0,0.0272
OreR,Ex,a,2,3,OreR_Ex_a_1,5,57,3.3278,24.0479,0.9946,0.0,0.0301
OreR,Ex,a,2,3,OreR_Ex_a_2,25,77,3.447,-5.4966,0.9887,0.0,0.0453
OreR,Ex,a,2,3,OreR_Ex_a_3,6,58,3.3563,30.8072,0.988,0.0,0.0454
OreR,Ex,a,2,3,OreR_Ex_a_4,48,100,3.0711,-11.4877,0.9807,0.0,0.053
OreR,Ex,a,2,3,OreR_Ex_a_5,0,52,1.6048,45.906000000000006,0.9698,0.0,0.035
OreR,Ex,a,2,3,OreR_Ex_a_6,73,125,2.5704,15.4044,0.9783,0.0,0.0472
